cource,type,ver,image_path,rate_0,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11
ドルフィンみさき,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h53m32s.jpg,10931,9276,10446,18118,10054,11369,12503,10828,3448,12478,9816,14419
どうぶつの森,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h56m42s.jpg,10960,9299,10464,18103,10039,11378,12515,10812,3445,12475,9810,14417
キノコリッジウェイ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_03h00m38s.jpg,10990,9288,10452,18111,10045,12527,10811,3453,12482,9808,12653,0
N64レインボーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h07m38s.jpg,13043,10515,11035,11382,10820,10837,9717,10773,14308,28959,0,0
ビッグブルー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h10m50s.jpg,13065,10511,11023,11363,10855,9726,10773,13084,11252,0,0,0
チョコマウンテン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h24m18s.jpg,10473,11081,10887,9748,10784,13125,11348,10886,10911,15819,11988,10353
カラカラさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h28m36s.jpg,19091,10010,8075,9182,25265,13521,5435,12582,27961,11059,20872,14697
キノコキャニオン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h32m20s.jpg,19108,10015,8070,9193,25265,13515,5432,12612,27936,11075,20855,14713
ヨッシーバレー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h35m32s.jpg,19116,10001,8077,9193,25256,13499,5432,12617,27935,11102,20877,14731
ミュートシティ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h42m44s.jpg,33530,12324,10313,10249,5787,10493,15148,30036,26313,18836,11113,11428
チョコマウンテン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h46m14s.jpg,33543,12319,10323,10242,5794,10475,15174,30041,26314,18849,11115,11409
スノーランド,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h49m48s.jpg,33546,12325,10306,10231,5798,10501,15181,30027,26334,18834,11116,11431
スカイガーデン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h53m16s.jpg,33540,10324,10220,5819,10506,15207,26317,11103,11428,14745,20886,12325
N64カラカラさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_00h57m12s.jpg,33553,10215,10514,11125,11423,14772,20893,24501,10152,0,0,0
ニンニンドージョー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h00m24s.jpg,33544,10228,11144,11448,14759,20882,24520,10138,14068,0,0,0
N64レインボーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h04m12s.jpg,33530,10237,11169,11434,14747,20903,24521,10127,14083,12340,12741,0
ビッグブルー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h07m20s.jpg,33542,10242,11181,11451,14727,20923,24530,10122,14085,12315,12733,17503
DKジャングル,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h13m10s.jpg,33548,11162,11452,14773,20894,24540,10122,14114,12273,12767,17521,31401
GBAマリオサーキット,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h26m46s.jpg,13532,10370,10309,9685,19029,6969,12766,11176,14834,10509,3506,20870
キノコリッジウェイ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h30m14s.jpg,13533,10368,10319,9708,6979,12778,11166,14813,10488,3506,20887,0
DKジャングル,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h34m12s.jpg,13536,10347,10323,9709,6998,12756,11184,14830,10481,3511,15893,10327
マリオカートスタジアム,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h38m04s.jpg,13540,10339,10336,9700,6994,11213,14847,10458,3525,10324,14121,0
ドルフィンみさき,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h41m26s.jpg,13516,9708,7016,11224,14842,10455,3530,10316,9150,1000,14121,0
マリオサーキット3,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h45m24s.jpg,13511,9718,7011,11251,14810,10459,3541,10335,9142,1008,14131,11460
ホネホネさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h49m08s.jpg,13519,9722,7014,11273,14831,10448,10342,14143,11455,15168,18423,0
ミュージックパーク,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h55m52s.jpg,13521,9770,7040,11272,14840,10416,10334,14185,11415,15194,18425,18704
プクプクビーチ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_01h59m40s.jpg,13534,9773,7034,11293,14865,10402,10330,14191,11416,15193,18440,18681
エレクトロドリーム,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h03m08s.jpg,13517,9783,7064,11295,14857,10415,10348,14168,11391,15208,18422,18700
